country,country_code,year,indicator_name,indicator_code,value
United Kingdom,GBR,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.29283990345938
United Kingdom,GBR,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.55775577557747
United Kingdom,GBR,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.0084173681141
United Kingdom,GBR,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.36804684232536
United Kingdom,GBR,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.45112016293279
Ireland,IRL,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.11344999577317
Ireland,IRL,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.29942487419125
Ireland,IRL,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.82945736434105
Ireland,IRL,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.34034113447044
Ireland,IRL,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.326183651280033
Ireland,IRL,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.937842961189274
Ireland,IRL,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.471130713712916
Ireland,IRL,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.362173038229378
Ireland,IRL,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.0201247735963237
Ireland,IRL,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.330959783371788
Ireland,IRL,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.190916398713745
Italy,ITA,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.982373023061417
Italy,ITA,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.62219442195901
Italy,ITA,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.20128991161718
Italy,ITA,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.87378325762481
Italy,ITA,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.13770757391651
Italy,ITA,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.611246943765304
Italy,ITA,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.13748763600391
Italy,ITA,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.22653316645812
Italy,ITA,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.09401665691575
Italy,ITA,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.0387903996579733
Italy,ITA,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.241047429826756
Netherlands,NLD,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.34754304219953
Netherlands,NLD,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.83839354342808
Netherlands,NLD,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,10.0012078753473
Netherlands,NLD,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.67572008805385
Netherlands,NLD,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.27246037789161
Netherlands,NLD,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.63369910249591
Netherlands,NLD,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.70349794744479
Netherlands,NLD,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.38145871407216
Netherlands,NLD,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.316666666666652
Netherlands,NLD,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.600248147278776
Netherlands,NLD,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.976035079699679
Norway,NOR,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.14530134431081
Norway,NOR,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.51784987104659
Norway,NOR,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.76412317852272
Norway,NOR,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.48388055266669
Norway,NOR,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.28658490707996
Norway,NOR,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.16773003305411
Norway,NOR,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.76483134528797
Norway,NOR,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.87510059552545
Norway,NOR,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.55000000000007
Norway,NOR,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.17113665389527
Norway,NOR,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.04170286707211
Poland,POL,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.79060897630197
Poland,POL,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,11.5289127961105
Poland,POL,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,14.4294507575758
Poland,POL,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.05502704719272
Poland,POL,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.37446972618589
Poland,POL,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.22747880938291
Poland,POL,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.81295156542689
Poland,POL,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.07593553673859
Poland,POL,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.664767331433962
Poland,POL,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.874125874125862
Poland,POL,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.0538213132399802
Portugal,PRT,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.41613187791884
Portugal,PRT,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.31128191898672
Portugal,PRT,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.83269124233323
Portugal,PRT,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.26565719069044
Portugal,PRT,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.0124383299575305
Portugal,PRT,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.338178410046034
Portugal,PRT,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.993715683468326
Portugal,PRT,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.36861411643472
Portugal,PRT,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.607397074641719
Portugal,PRT,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.48793862390472
Portugal,PRT,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.278153367467428
Sweden,SWE,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.83581658224034
Sweden,SWE,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.5486248974891
Sweden,SWE,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.36929098869189
Sweden,SWE,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.16319736447143
Sweden,SWE,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.497367318853572
Sweden,SWE,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.78415097403835
Sweden,SWE,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.95353530127028
Sweden,SWE,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.79449904665599
Sweden,SWE,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.984269244577992
Sweden,SWE,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.0467847449832812
Sweden,SWE,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.179638494114635
Austria,AUT,2024,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.91974877
Austria,AUT,2023,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.33467117
Austria,AUT,2022,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.61409139
Austria,AUT,2021,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.52915104
Austria,AUT,2020,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.52942813
Austria,AUT,2019,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.7522047870069
Austria,AUT,2018,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.4791372262556
Austria,AUT,2017,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.9355865856062
Austria,AUT,2016,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.3237425711653
Austria,AUT,2015,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.9401419315026
Austria,AUT,2014,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.9958249574764
Belgium,BEL,2024,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.77579144
Belgium,BEL,2023,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.62625074
Belgium,BEL,2022,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.00783071
Belgium,BEL,2021,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.78867618
Belgium,BEL,2020,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.52641629
Belgium,BEL,2019,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.275428012141
Belgium,BEL,2018,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.6473429951691
Belgium,BEL,2017,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.6796808175598
Belgium,BEL,2016,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.5164766644457
Belgium,BEL,2015,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.0529417508701
Belgium,BEL,2014,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.0012379539925
Switzerland,CHE,2024,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.3443985
Switzerland,CHE,2023,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.34436623
Switzerland,CHE,2022,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.45279694
Switzerland,CHE,2021,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.56937154
Switzerland,CHE,2020,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.34999847
Switzerland,CHE,2019,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.1460869535177
Switzerland,CHE,2018,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.80000305
Switzerland,CHE,2017,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.6861476710225
Switzerland,CHE,2016,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.1346877351392
Switzerland,CHE,2015,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.4790555978675
Switzerland,CHE,2014,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.6172512621702
Germany,DEU,2024,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.49999579
Germany,DEU,2023,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.4763763
Germany,DEU,2022,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.62984383
Germany,DEU,2021,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.43060973
Germany,DEU,2020,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.81294133
Germany,DEU,2019,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.1345169091916
Germany,DEU,2018,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.037112092841
Germany,DEU,2017,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.3941537010844
Germany,DEU,2016,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.1652066441212
Germany,DEU,2015,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.5897993525767
Germany,DEU,2014,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.1937006578756
Denmark,DNK,2024,Individuals using the Internet (% of population),IT.NET.USER.ZS,99.76915157
Denmark,DNK,2023,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.77559197
Denmark,DNK,2022,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.86011812
Denmark,DNK,2021,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.8658506
Denmark,DNK,2020,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.54914573
Denmark,DNK,2019,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.0464347521549
Denmark,DNK,2018,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.3192043651002
Denmark,DNK,2017,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.0993621555621
Denmark,DNK,2016,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.9677852516645
Denmark,DNK,2015,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.3305016195436
Denmark,DNK,2014,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.9935053764454
Spain,ESP,2024,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.7574516
Spain,ESP,2023,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.44564516
Spain,ESP,2022,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.4855432
Spain,ESP,2021,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.89752157
Spain,ESP,2020,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.20564892
Spain,ESP,2019,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.718665325267
Spain,ESP,2018,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.107235525659
Spain,ESP,2017,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.6022457016524
Spain,ESP,2016,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.5613329432179
Spain,ESP,2015,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.6896318703515
Spain,ESP,2014,Individuals using the Internet (% of population),IT.NET.USER.ZS,76.1867089778712
Finland,FIN,2024,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.72405196
Finland,FIN,2023,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.51385075
Finland,FIN,2022,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.98879471
Finland,FIN,2021,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.80806082
Finland,FIN,2020,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.17027106
Finland,FIN,2019,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.6073851129779
Finland,FIN,2018,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.8899599985585
Finland,FIN,2017,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.4689290730615
Finland,FIN,2016,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.7036499599455
Finland,FIN,2015,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.4221333325445
Finland,FIN,2014,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.5303927529377
France,FRA,2024,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.65381638
France,FRA,2023,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.83635789
France,FRA,2022,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.33331734
France,FRA,2021,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.09548575
France,FRA,2020,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.70639801
France,FRA,2019,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.3397440866883
France,FRA,2018,Individuals using the Internet (% of population),IT.NET.USER.ZS,82.0431867788484
France,FRA,2017,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.5024597243607
France,FRA,2016,Individuals using the Internet (% of population),IT.NET.USER.ZS,79.2698113207547
France,FRA,2015,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.0060377071902
France,FRA,2014,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.7510996681821
United Kingdom,GBR,2024,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.4720993
United Kingdom,GBR,2023,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.44719696
United Kingdom,GBR,2022,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.46530151
United Kingdom,GBR,2021,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.19650269
United Kingdom,GBR,2020,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.81820132
United Kingdom,GBR,2019,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.5166285497138
United Kingdom,GBR,2018,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.692008988783
United Kingdom,GBR,2017,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.4245504868553
United Kingdom,GBR,2016,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.7758006318882
United Kingdom,GBR,2015,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.0002998740234
United Kingdom,GBR,2014,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.6133009176453
Ireland,IRL,2024,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.18769836
Ireland,IRL,2023,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.8660965
Ireland,IRL,2022,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.03690338
